id,log_price,property_type,room_type,amenities,accommodates,bathrooms,bed_type,cancellation_policy,cleaning_fee,city,description,first_review,host_has_profile_pic,host_identity_verified,host_response_rate,host_since,instant_bookable,last_review,latitude,longitude,name,neighbourhood,number_of_reviews,review_scores_rating,thumbnail_url,zipcode,bedrooms,beds
8235932,4.007333185232471,Apartment,Private room,"{TV,""Wireless Internet"",""Air conditioning"",Kitchen,""Free parking on premises"",Heating,""Smoke detector"",""Carbon monoxide detector"",""Safety card"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",""Laptop friendly workspace"",""Private living room""}",3,1.0,Real Bed,flexible,False,NYC,"I'm looking to AirBnB my very large bedroom which has my Queen-sized bed and studio space which can accommodate a Queen-sized air mattress (which I will provide upon request). The apartment as a whole is very spacious and includes two (SENSITIVE CONTENTS HIDDEN). You would have access to the living area and kitchen so that you can prepare meals and enjoy your time during your travels to New York City! You would share a bathroom, but we keep everything tidy and clean, so it's certainly not a disaster. I'm a designer so I travel frequently, and usually leave my portion of the apartment vacant. I'm looking to AirBnB my very large bedroom which has my queen bed and studio space which can accommodate a Queen sized air mattress (which I will provide upon request). The apartment as a whole is very spacious and includes two (SENSITIVE CONTENTS HIDDEN). One is a writer and keeps to herself and the other is also a designer who also keeps to himself. You would have access to the living area and k",,t,f,100%,2017-04-16,t,,40.673765597710464,-73.9425030426503,Bedroom and Studio in Crowne Heights,Crown Heights,0,,https://a0.muscache.com/im/pictures/afdccd5b-6041-4f88-8c16-b86327eb21ab.jpg?aki_policy=small,11213.0,2.0,1.0
20798053,4.6913478822291435,Apartment,Private room,"{""Wireless Internet"",""Air conditioning"",Kitchen,""Free parking on premises"",Heating,""Family/kid friendly"",Washer,Dryer,Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_50""}",2,1.0,Real Bed,flexible,True,Chicago,"Bright and spacious open design, high ceilings and hardwood floors, our home can host a whole family or four friends to enjoy all the great activities Chicago offers in summer. Our place is just 10K from Chicago's Magnificent Mile, museums, etc. Hang out in our backyard, bbq on the gas grill, enjoy world cuisine in nearby restaurants, or cook in our fully equipped kitchen. Our children's grandma will host you from her private downstairs suite. Free parking and public transport near the house. Our family will travel abroad this summer and make our spacious, airy apartment in trendy Logan Square available to you. Our children's grandmother, an experienced Airbnb superhost, will take care of you. You will occupy the entire main floor. She will stay in our private-entrance lower level suite, sharing only your kitchen.  Our summer guests will have full use of our kitchen, living and dining rooms, the 2 bedrooms and bathroom (with shower and a jacuzzi tub) on the main level, and the fenced b",2016-07-06,t,t,,2015-07-10,f,2016-07-17,41.9207641733926,-87.71504864892947,Great place for family/friends in Chicago summer!,Logan Square,3,93.0,https://a0.muscache.com/im/pictures/00f81906-b466-4a40-86a6-2b76114c99fd.jpg?aki_policy=small,60647,1.0,1.0
4475887,4.382026634673881,Apartment,Private room,"{TV,Internet,""Wireless Internet"",""Air conditioning"",Kitchen,Heating,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",2,1.0,Real Bed,strict,True,Boston,"This destination  is close to Maverick Station. East Boston is a prime location for airport travelers/workers. THIS IS NOT A 5 STAR RESORT please book a hotel if that is what you seek. Other than that If your flight gets delayed, cancelled or if your an employee pulling a double  and want to be close to the airport for your morning shift, S.P would love to host you. In the bedroom: This is a beautiful room on the third floor. It has hardwood floors, a small additonal room with a desk and chair, has a built in ceiling fan and light. We supply 1 washcloth and 1 towel per person.  The common areas: The common areas are the kitchen, bathroom and small space in the entry way.  Bathroom: Shower, toilet, sink Kitchen: We have a kitchen table with 3 chairs, a fridge, freezer, stove, microwave and a few small pots and pans for light cooking. There is silverware and cooking spoons in the drawer and glasses in the cupboard as well.  Small entry area when you enter the home: Sometimes we allow gue",2016-11-13,t,t,100%,2015-03-05,t,2017-10-05,42.370980158449896,-71.03659927770424,EC1 Comfy Spot Boston near Greenway,East Boston,87,86.0,https://a0.muscache.com/im/pictures/e942abab-8ab5-4f22-89ce-cf5d4ddfe820.jpg?aki_policy=small,02128,1.0,1.0
16769256,4.442651256490317,Apartment,Private room,"{""Wireless Internet"",""Air conditioning"",Kitchen,""Pets live on this property"",Cat(s),Heating}",1,1.0,Real Bed,strict,False,NYC,"Dear Guests,      FOR  WOMEN ONLY.   A lovely private room in a large loft (converted factory) in downtown Manhattan near Union Square.  For someone who seeks quiet in the city.  Accessible to all of NYC a small gorgeous room decorated with antique desk, beautiful fabrics, shoji screen window, internet and privacy for single person in a shared loft downtown near Union Square. Two cats and a large eat in kitchen make this a perfect place to discover Manhattan in a restful and beautiful way.  There are two cats in the apartment. they are friendly and do not sleep or go in the room.   The neighborhood is fabulous.  Near Union Square, markets, movies, restaurants, and most trains.   the bedroom is beautifully decorated like a balinese room with cloths and shoji screen.  The loft is unique.  Far more room and privacy than most NY places, even though there is a shared bathroom and kitchen.  The old building is classic artist living in Manhattan with a two floor walk up.  ",2013-05-11,t,f,100%,2011-10-25,f,2017-09-23,40.7319643684384,-73.99000156945348,Best cozy beautiful room downtown.,East Village,37,89.0,https://a0.muscache.com/im/pictures/15847451/28d9b527_original.jpg?aki_policy=small,10003,1.0,1.0
16288499,4.553876891600541,House,Private room,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Free parking on premises"",""Indoor fireplace"",Heating}",2,1.0,Real Bed,flexible,True,LA,"Lovely 3 Bedrooms, 1 bathroom house which FEATURES: A beautiful mountain view, bright living room and dining room with gas fireplace and recessed lighting and crown molding. Hardwood floors throughout the house & ceramic tile in kitchen, bathroom and back porch. Includes washer and dryer hookup in the laundry room. Lot of recreation minutes away, quite area for jogging, biking or hiking. Close to Old Town Pasadena, New Years Parade and the Rose Bowl It's a charming traditional house minutes from JPL and the freeway. Close to the canyon and great for outdoor activities such as Horse Back riding and Bike riding. The Guest will have a Key to the house. We're a friendly loving family, and open our house to guest, although we work alot the guest will have their own private room. Quiet and beautiful, very nice area to take walks, with a access to a wonderful mountain view. Public Buses available very close, Uber and Taxi Cabs.",,t,t,,2013-10-06,f,,34.201263766863704,-118.16181619594968,1 Guest Room in Quiet Neighborhood ,Pasadena,0,,https://a0.muscache.com/im/pictures/71392485/44f94c14_original.jpg?aki_policy=small,91001,1.0,1.0
20192789,5.087596335232384,Apartment,Entire home/apt,"{TV,""Wireless Internet"",""Air conditioning"",Kitchen,""Buzzer/wireless intercom"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,Hangers,""Hair dryer"",""Laptop friendly workspace"",""translation missing: en.hosting_amenity_50""}",1,1.0,Real Bed,strict,True,NYC,"My place is close to Cafe Amrita, Smoke Jazz & Supper Club, Henry's, Silver Moon Bakery, Cantina 1838, Central Park. You’ll love my place because of the comfy bed, the high ceilings, and the views. My place is good for couples and solo adventurers. Trains B,C, 1, 2,3 are in two and three blocks form my place. there is a bike rental for riding in Central Park.  heart of Manhattan! Prime location , 2 blocks from Central Park. This is a prewar walk up building but this Manhattan where 70% buildings are prewar. The pace is furnished and everything you need is here.  You can walk down to American Natural museum and cross the park for Met and Guggenheim. I will greet the guests and give the keys and initial guidance. I will be there any time they need me. upper west side  classy neighborhood Trains B,C, 1, 2,3 are in two and three blocks form my place. there is a bike rental for riding in Central Park.  heart of Manhattan!",2017-07-05,t,f,67%,2016-08-08,t,2017-08-31,40.80062138223792,-73.96379839833556,1 Bedroom Appartment by Central Park,Upper West Side,3,67.0,https://a0.muscache.com/im/pictures/c6a60b2d-f4a8-49d0-b745-6ea975e1d6bb.jpg?aki_policy=small,10025,1.0,1.0
8239111,4.787491742782046,House,Private room,"{Internet,""Wireless Internet"",""Free parking on premises"",""Pets live on this property"",Dog(s),Cat(s),""Family/kid friendly"",""First aid kit"",Essentials,Shampoo}",2,1.0,Real Bed,strict,True,LA,"Enjoy a romantic retreat in a charming & cozy moroccan themed space in the heart of magical Topanga Canyon.  Queen bed, down pillows, siberian goose down comforter, egyptian cotton sheets, high ceilings and hardwood floors. Freestanding guesthouse in the Topanga Mountains. Our cozy space is filled with warmth and soul.  Nestled among the Topanga Mountains while only 15 minutes down to the beach! Bedroom is a large room with high ceiling  featuring exposed wood beams and blonde hardwood floor. Sleep beneath a vintage silk sari canopy, do yoga in the open space in front of the large mirrored wall...then take a sunbath and watch the hawks soar above you. Downstairs(12 small steps) with private lounge and bathroom with free standing shower.  Also,a mini fridge,toaster oven , coffee maker and electric kettle are available.Complimentary illy coffee and tea. There is a private outdoor seating area overlooking the Topanga mountains...where you can view sunrise and moonrise. Take a break from y",2014-03-19,t,t,,2012-11-21,f,2016-05-31,34.089571135959375,-118.60418525928893,ROMANTIC GYPSY HIDEAWAY,Topanga,75,96.0,https://a0.muscache.com/im/pictures/33683438/cc7d470d_original.jpg?aki_policy=small,90290,1.0,1.0
1847718,5.991464547107983,Condominium,Entire home/apt,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air conditioning"",Kitchen,Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self Check-In"",Keypad}",4,1.0,Real Bed,moderate,True,Boston,"This beautifully renovated condo is quintessential Boston in a fabulous location with wide open floor plan, high ceilings, gorgeous moldings, white quartz kitchen, top of the line stainless appliances, marble bath and high end electronics in each room including a 60"" high def TV - Welcome Home! We just completed a stunning top to bottom renovation last August of this beautiful brownstone located in the heart of Boston.  Wide open living, dining and kitchen with gorgeous refinished original wide pine floors, dramatic 11 foot ceilings with refinished original moldings, exposed brick throughout, brand new top of the line stainless refrigerator, 5 burner gas stove, built in microwave drawer and white custom kitchen cabinets with white quartz countertop and backsplash. Kitchen is fully stocked with everything needed and a gorgeous marble bathroom stocked with hotel quality bath towels, shampoo, conditioner, body wash and blow dryer. There are 2 bedrooms - one master with king size bed and o",2016-07-21,t,t,100%,2014-09-21,f,2017-09-14,42.34274931253549,-71.08316523242388,BEAUTIFUL BOSTON BROWNSTONE,Back Bay,26,99.0,https://a0.muscache.com/im/pictures/b563162d-42ae-4845-9636-612e02a9d3bc.jpg?aki_policy=small,02118,2.0,2.0
21203877,5.886104031450156,House,Entire home/apt,"{TV,""Wireless Internet"",""Air conditioning"",Kitchen,""Free parking on premises"",""Smoking allowed"",""Pets allowed"",Heating,""Family/kid friendly"",""Suitable for events"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Hangers,Iron}",2,1.0,Real Bed,flexible,False,DC,"1 to 2 guests  Private Guest Room  Private Modern Bath Queen Bed Cotton Towels FIOS WiFi MetroRail Access  MetroBus lines  DIY Continental Breakfast Snacks Water-Coffee-Tea Ample, easy, safe and free street parking",,t,f,100%,2016-09-21,f,,38.85879089978818,-76.98676992675709,DC Townhouse,Buena Vista,0,,https://a0.muscache.com/im/pictures/fa79ab5d-79cf-4de7-baf8-d3d31b1ebfca.jpg?aki_policy=small,20020,1.0,1.0
20687964,4.248495242049359,Apartment,Private room,"{Internet,""Wireless Internet"",""Air conditioning"",Kitchen,Heating,""Smoke detector"",""Carbon monoxide detector"",Essentials,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",2,1.0,Real Bed,moderate,True,Chicago,"Enjoy your private bedroom in meticulously restored and updated home by the historic Humboldt Park. Explore the city on a bike or walking, divvy station located around the corner. 606 Trail just 5 blocks away. Enjoy some of the neighborhood venues for food and drinks - Bullhead Cantina's tacos, CC Ferns coffee, pastries at Spinning J, breakfast/brunch at Flying Saucer or Café Marie-Jeanne. Dinner and cocktails at the Haywood Tavern and craft cocktail and live music at California Clipper. Kitchen is the common area - with an oversized counter and bar stools and although there is no cooking allowed, guests can bring/order food and use the fridge and microwave.",2015-09-06,t,f,100%,2014-11-30,t,2017-05-07,41.90522074667215,-87.6944417906495,Renovated Victorian Beauty,Humboldt Park,38,95.0,https://a0.muscache.com/im/pictures/104168033/02311b54_original.jpg?aki_policy=small,60622,1.0,1.0
17527515,5.0106352940962555,Apartment,Entire home/apt,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air conditioning"",Pool,Kitchen,""Free parking on premises"",""Pets allowed"",Gym,""Elevator in building"",""Hot tub"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Hangers,""Hair dryer"",Iron}",2,1.0,Real Bed,flexible,True,LA,"This place has everything you want. Close to Downtown Culver City, Sony Studios, Santa Monica, Century City Mall and Hollywood.  It's perfect for those working at Sony! 2 blocks.  It's quiet and modern.  There's a gym, pool, and hot tub on premises.  My place is good for couples, solo adventurers, business travelers, and furry friends.   There's a washer/dryer in the unit, a huge balcony, huge comfortable bed, modern furniture and new appliances.  You'll be able to enjoy both cable and Apple TV. The space has a huge balcony where you can sit out and see the Hollywood sign on a clear day.  Top floor, so you don't have anyone stomping above you.  Hardwood floors, your own washer and dryer and central air and heat.  The sofa is pull out bed if you have another guest come stay. There is guest parking on the first floor as well as plenty of street parking. The place is fully yours.  It's a studio so it's not like there's a room that I'm going to hide from you.  :) I'm a phone call away if y",2016-09-19,t,t,,2013-09-17,f,2017-01-21,34.022343212908396,-118.40076290960907,Culver City Studio,Palms,5,100.0,https://a0.muscache.com/im/pictures/7bd80792-7e50-4d52-ada1-132a663870a2.jpg?aki_policy=small,90034,0.0,1.0
12524258,4.0943445622221,Apartment,Private room,"{Internet,""Wireless Internet"",Kitchen,Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}",4,1.0,Real Bed,moderate,True,NYC,"This guest room with two double beds, private bathroom and private entrance is spacious and gives access to the backyard on sunny days. A kitchette with a sink, microwave, refrigerator, toaster, hot water kettle and coffee machine is right next to the room and for your private use. Access to the main house where the full kitchen with gas stove and living room is just one flight up and we'd love for you to come up anytime during the day. A clean and comfy guest room with two double beds awaits you in a newly built apartment in Bushwick Brooklyn. Perfect for weekend getaways! Sleeps up to 4. Free Wifi all the time. The house is near two main subway lines, L and J trains, just 20 mins to New York City. A and C trains also walking distance for easy access to Barclays Center and Downtown Brooklyn. Washer, dryer and ironing board available. Guest room is on the lower level, is private with a door that locks with a key while you are out. It has bookshelves and a wardrobe. Private full bath wi",2012-09-17,t,t,100%,2012-09-10,t,2017-09-28,40.681610416584675,-73.90795643692347,Guestroom w/ 2 beds 20 mins to NYC ,Bushwick,205,97.0,https://a0.muscache.com/im/pictures/9733510/6397c550_original.jpg?aki_policy=small,11207,1.0,2.0
4278568,4.31748811353631,Apartment,Private room,"{TV,""Wireless Internet"",""Air conditioning"",Kitchen,Heating,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,""Lock on bedroom door"",Hangers,""Hair dryer"",""Laptop friendly workspace""}",2,2.0,Real Bed,moderate,True,NYC,"Room for rent, 1 full size bed, $70 per nigth, 15 min away from the John F. Kennedy Airport, J Train next Block, fast food two minutes, Two Bathroom sharing, kitchen, dinning and living room available. Perfect for vacation and business staying. LOCATED at 221 LOGAN ST BROOKLYN New York 11208 You’ll love my place because of the ambiance is good for couples, solo adventurers, and business travelers. Kitchen, living and dinning room, bathroom I live in the first FL anytime available for you. Safe neighborhood and quiet.",2017-05-29,t,t,100%,2017-04-24,f,2017-06-12,40.68182933211235,-73.8782353236312,Private Room for rent #1,East New York,2,100.0,,11208.0,1.0,1.0
17555280,4.867534450455582,Apartment,Entire home/apt,"{TV,""Wireless Internet"",Kitchen,Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,Hangers,""Hair dryer"",""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Private entrance""}",2,1.0,Real Bed,flexible,True,LA,"This is a beautiful, Mid-century designed apartment with lots of antique furniture I have brought over from Paris. The apartment is a 10min walk to the beach, 10 min to the famous 3rd street promenade and 5 min walk to Montana Ave Cafes and restaurants. It really doesn't get any better than this! The apartment is a large one bedroom with a full kitchen.",,t,t,,2014-06-20,t,,34.026773983925374,-118.4968132516068,Beautiful Home in the best part of Santa Monica,Santa Monica,0,,https://a0.muscache.com/im/pictures/37bd68f0-9147-47f2-8248-8a7d08143d14.jpg?aki_policy=small,90403,1.0,1.0
